EXP_6,EXP_8,EXP_9,EXP_10,EXP_11,EXP_12,EXP_13,EXP_14,Q-Value
-40.43,462.81,185.25,210.61,64.69,149.71,-215.73,328.71,-197.97
-32.6,475.62,392.78,344.72,323.76,251.18,-530.14,424.24,-42.22
257.16,471.28,563.62,582.82,156.02,241.22,-531.0,290.32,59.82
183.62,413.3,550.88,553.98,385.88,509.98,-531.22,406.96,116.72
330.32,443.18,419.72,299.98,460.72,330.04,-535.72,511.76,-162.92
194.36,368.82,424.96,462.54,385.14,406.02,-535.04,530.98,-129.7
165.92,485.48,511.84,466.32,572.22,349.44,-530.66,391.88,24.72
241.12,468.2,389.8,581.24,438.04,169.66,-536.44,454.22,-139.1
358.46,514.58,596.86,600.08,245.16,301.12,-537.44,359.5,17.22
171.96,606.52,640.48,356.32,426.48,418.86,-535.36,413.24,-10.68
292.42,612.48,669.38,489.7,240.9,374.6,-538.2,380.32,75.0
322.06,403.96,859.54,400.36,416.6,389.42,-537.78,511.74,-129.78
247.94,737.3,561.12,541.84,312.68,373.16,-531.92,292.9,321.1
235.3,660.64,703.66,649.44,272.38,585.16,-533.78,527.22,112.46
310.56,414.52,466.74,514.04,589.56,408.58,-532.32,351.2,151.04
390.34,573.76,670.76,471.7,428.48,378.56,-531.72,278.14,273.12
369.46,757.88,718.62,434.44,612.8,461.42,-535.26,396.48,313.92
337.98,660.36,671.76,747.54,550.38,290.5,-534.74,536.86,487.22
365.18,897.9,620.04,651.72,604.7,243.4,-530.5,384.22,213.48
360.4,577.82,641.6,465.94,662.24,110.56,-539.46,708.6,501.96
303.68,654.36,557.34,596.94,582.84,266.26,-531.7,725.74,429.54
335.86,476.48,678.42,630.52,397.66,615.18,-532.64,560.42,421.44
437.6,708.02,489.62,789.22,504.32,208.78,-534.4,318.42,460.12
422.36,856.58,535.1,550.86,582.0,360.88,-532.3,457.36,111.58
287.26,790.66,517.0,810.22,637.2,260.1,-534.08,590.56,527.76
364.94,652.12,559.52,699.3,504.94,329.44,-535.26,614.04,110.74
469.04,838.68,545.1,711.36,318.78,334.44,-531.78,510.8,246.9
369.48,954.46,338.1,720.22,160.42,447.18,-532.42,564.78,274.28
487.16,839.48,674.64,438.96,405.24,411.82,-537.12,395.94,454.54
382.24,785.88,574.82,684.5,455.02,247.16,-536.4,569.78,488.8
300.9,680.94,729.82,738.76,516.3,415.26,-531.68,493.08,589.82
282.08,762.72,448.06,706.08,795.52,555.26,-534.42,531.38,538.28
348.06,976.1,493.54,761.88,378.44,538.6,-536.4,532.9,990.6
237.06,865.56,639.46,538.72,712.46,453.54,-538.94,545.5,1009.32
372.48,870.38,449.32,718.36,576.06,380.3,-532.64,676.36,671.42
375.32,896.48,817.72,807.6,694.26,551.98,-534.12,605.2,855.5
549.86,617.04,409.34,881.72,576.82,337.88,-531.14,699.02,787.88
