Episodes,Euclidian buffer = 100,Euclidian buffer = 50,Euclidian buffer = 25,Q-Value
100,-40.43,462.81,185.25,-197.97
200,-32.6,475.62,392.78,-42.22
300,257.16,471.28,563.62,59.82
400,183.62,413.3,550.88,116.72
500,330.32,443.18,419.72,-162.92
600,194.36,368.82,424.96,-129.7
700,165.92,485.48,511.84,24.72
800,241.12,468.2,389.8,-139.1
900,358.46,514.58,596.86,17.22
1000,171.96,606.52,640.48,-10.68
1100,292.42,612.48,669.38,75.0
1200,322.06,403.96,859.54,-129.78
1300,247.94,737.3,561.12,321.1
1400,235.3,660.64,703.66,112.46
1500,310.56,414.52,466.74,151.04
1600,390.34,573.76,670.76,273.12
1700,369.46,757.88,718.62,313.92
1800,337.98,660.36,671.76,487.22
1900,365.18,897.9,620.04,213.48
2000,360.4,577.82,641.6,501.96
2100,303.68,654.36,557.34,429.54
2200,335.86,476.48,678.42,421.44
2300,437.6,708.02,489.62,460.12
2400,422.36,856.58,535.1,111.58
2500,287.26,790.66,517.0,527.76
2600,364.94,652.12,559.52,110.74
2700,469.04,838.68,545.1,246.9
2800,369.48,954.46,338.1,274.28
2900,487.16,839.48,674.64,454.54
3000,382.24,785.88,574.82,488.8
3100,300.9,680.94,729.82,589.82
3200,282.08,762.72,448.06,538.28
3300,348.06,976.1,493.54,990.6
3400,237.06,865.56,639.46,1009.32
3500,372.48,870.38,449.32,671.42
3600,375.32,896.48,817.72,855.5
3700,549.86,617.04,409.34,787.88
3800,383.96,721.22,735.1,680.52
3900,345.32,684.58,518.52,517.76
4000,436.86,1032.56,682.32,540.92
4100,654.24,802.86,951.72,533.08
4200,671.82,784.94,802.78,403.34
4300,831.36,1014.98,605.54,427.26
4400,630.48,974.58,653.04,141.8
4500,614.9,1051.0,627.48,409.92
4600,701.62,856.3,677.38,347.06
4700,495.02,659.1,899.4,802.3
4800,596.6,773.8,571.48,955.74
4900,555.32,1099.18,857.3,962.74
5000,546.24,759.16,742.26,784.58
5100,508.16,897.54,733.58,613.46
5200,456.46,1047.84,712.32,658.42
5300,689.68,780.84,577.48,780.74
5400,526.88,935.4,708.96,682.76
5500,482.66,810.26,626.16,745.54
5600,766.78,821.38,678.8,1142.7
5700,658.36,1004.06,733.7,808.12
5800,651.08,910.6,845.68,1003.46
5900,532.38,852.84,727.98,859.44
6000,621.92,962.84,870.9,727.58
6100,596.88,1049.26,851.94,941.04
6200,690.0,1167.98,838.56,571.18
6300,705.18,1147.96,590.02,795.38
6400,655.72,890.34,757.34,881.42
6500,786.1,1030.68,978.3,1100.92
